cliente.abandono,cliente.genero,cliente.adulto_mayor,cliente.tiene_pareja,cliente.dependientes,cliente.antiguedad_meses,telefono.servicio,telefono.lineas_multiples,internet.tipo_servicio,internet.seguridad_en_linea,internet.respaldo_en_linea,internet.proteccion_dispositivo,internet.soporte_tecnico,internet.tv_streaming,internet.peliculas_streaming,cuenta.tipo_contrato,cuenta.facturacion_sin_papel,cuenta.metodo_pago,cuenta.cargo_mensual,cuenta.cargo_total,Cuentas.diarias,Cuentas.Prom.Periodo
0,Female,0,1,1,9,Yes,No,DSL,No,Yes,No,True,Yes,No,One year,1,Mailed check,65.6,593.3,2.1866666666666665,65.92222222222222
0,Male,0,0,0,9,Yes,Yes,DSL,No,No,No,False,No,Yes,Month-to-month,0,Mailed check,59.9,542.4,1.9966666666666664,60.266666666666666
1,Male,0,0,0,4,Yes,No,Fiber optic,No,No,Yes,False,No,No,Month-to-month,1,Electronic check,73.9,280.85,2.4633333333333334,70.2125
1,Male,1,1,0,13,Yes,No,Fiber optic,No,Yes,Yes,False,Yes,Yes,Month-to-month,1,Electronic check,98.0,1237.85,3.2666666666666666,95.21923076923076
1,Female,1,1,0,3,Yes,No,Fiber optic,No,No,No,True,Yes,No,Month-to-month,1,Mailed check,83.9,267.4,2.796666666666667,89.13333333333333
0,Female,0,0,1,9,Yes,No,DSL,No,No,No,True,Yes,Yes,Month-to-month,1,Credit card (automatic),69.4,571.45,2.313333333333333,63.49444444444445
0,Female,1,1,0,71,Yes,No,Fiber optic,Yes,Yes,Yes,True,Yes,Yes,Two year,1,Bank transfer (automatic),109.7,7904.25,3.6566666666666663,111.3274647887324
0,Male,0,1,0,63,Yes,Yes,Fiber optic,Yes,No,No,True,No,No,Two year,1,Credit card (automatic),84.65,5377.8,2.8216666666666668,85.36190476190477
0,Female,1,0,0,7,Yes,No,DSL,Yes,No,No,False,No,No,Month-to-month,1,Electronic check,48.2,340.35,1.606666666666667,48.621428571428574
0,Female,0,1,1,65,Yes,Yes,DSL,Yes,Yes,Yes,True,Yes,Yes,Two year,1,Mailed check,90.45,5957.9,3.015,91.66
0,Male,0,0,0,54,No,No phone service,DSL,Yes,No,No,True,Yes,No,Two year,0,Credit card (automatic),45.2,2460.55,1.5066666666666668,45.56574074074074
0,Female,0,1,1,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,True,Yes,Yes,Two year,1,Credit card (automatic),116.8,8456.75,3.893333333333333,117.45486111111111
0,Female,0,1,0,5,Yes,No,Fiber optic,No,No,No,False,No,No,Month-to-month,1,Electronic check,68.95,351.5,2.2983333333333333,70.3
0,Female,0,0,0,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,False,Yes,No,Two year,1,Bank transfer (automatic),101.3,7261.25,3.3766666666666665,100.85069444444444
0,Female,0,0,0,56,No,No phone service,DSL,Yes,Yes,Yes,True,No,No,Two year,0,Bank transfer (automatic),45.05,2560.1,1.5016666666666665,45.71607142857143
0,Female,0,1,1,71,Yes,Yes,Fiber optic,No,Yes,Yes,False,No,Yes,Two year,1,Credit card (automatic),95.75,6849.4,3.191666666666667,96.47042253521126
0,Female,0,1,1,34,No,No phone service,DSL,Yes,No,Yes,True,Yes,Yes,One year,0,Mailed check,61.25,1993.2,2.0416666666666665,58.62352941176471
0,Female,1,0,0,1,Yes,Yes,Fiber optic,No,No,No,False,No,No,Month-to-month,1,Electronic check,72.1,72.1,2.4033333333333333,72.1
1,Male,1,0,0,45,Yes,No,DSL,Yes,No,Yes,False,No,Yes,One year,0,Credit card (automatic),62.7,2791.5,2.0900000000000003,62.03333333333333
1,Male,1,0,0,1,No,No phone service,DSL,No,No,No,False,No,No,Month-to-month,1,Electronic check,25.1,25.1,0.8366666666666667,25.1
0,Female,1,1,0,50,Yes,Yes,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,One year,0,Electronic check,25.2,1306.3,0.84,26.126
1,Female,0,1,0,13,Yes,Yes,Fiber optic,No,Yes,Yes,False,Yes,No,Month-to-month,0,Electronic check,94.1,1215.6,3.1366666666666663,93.5076923076923
0,Female,0,1,1,23,Yes,Yes,Fiber optic,No,No,No,False,Yes,No,Month-to-month,1,Electronic check,83.75,1849.95,2.7916666666666665,80.43260869565218
0,Female,0,0,0,3,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Month-to-month,0,Mailed check,19.85,57.2,0.6616666666666667,19.066666666666663
1,Female,0,1,1,4,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Month-to-month,0,Mailed check,20.35,76.35,0.6783333333333333,19.0875
1,Female,0,1,1,1,No,No phone service,DSL,Yes,No,No,False,No,No,Month-to-month,0,Bank transfer (automatic),30.5,30.5,1.0166666666666666,30.5
0,Female,0,1,1,55,Yes,No,Fiber optic,No,Yes,Yes,True,Yes,Yes,One year,1,Bank transfer (automatic),103.7,5656.75,3.4566666666666666,102.85
0,Male,0,1,1,54,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Two year,0,Credit card (automatic),20.4,1090.6,0.6799999999999999,20.196296296296296
0,Male,0,0,0,26,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,One year,1,Bank transfer (automatic),19.6,471.85,0.6533333333333334,18.148076923076925
0,Female,0,1,1,69,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Two year,0,Bank transfer (automatic),19.7,1396.9,0.6566666666666666,20.244927536231884
0,Male,0,1,1,37,Yes,No,Fiber optic,No,No,No,False,Yes,Yes,One year,0,Credit card (automatic),91.2,3247.55,3.04,87.77162162162162
0,Female,0,1,0,49,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,One year,0,Bank transfer (automatic),20.45,900.9,0.6816666666666666,18.38571428571429
0,Male,0,1,0,66,Yes,Yes,Fiber optic,Yes,Yes,Yes,True,Yes,Yes,One year,0,Bank transfer (automatic),115.8,7942.15,3.86,120.33560606060604
0,Female,0,0,0,67,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,One year,0,Electronic check,20.55,1343.4,0.685,20.05074626865672
0,Male,0,1,1,20,No,No phone service,DSL,Yes,No,Yes,True,No,No,Two year,1,Credit card (automatic),39.4,825.4,1.3133333333333332,41.27
0,Female,0,0,1,43,Yes,Yes,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Two year,1,Electronic check,25.1,1070.15,0.8366666666666667,24.887209302325584
0,Female,0,1,0,55,Yes,Yes,Fiber optic,Yes,No,No,False,Yes,No,Month-to-month,1,Bank transfer (automatic),89.8,4959.6,2.993333333333333,90.17454545454548
0,Female,0,1,0,59,Yes,Yes,Fiber optic,Yes,Yes,No,False,Yes,No,Month-to-month,1,Electronic check,94.75,5597.65,3.158333333333333,94.87542372881356
0,Female,0,1,1,12,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.3,224.5,0.6766666666666666,18.70833333333333
0,Male,0,1,1,27,Yes,Yes,Fiber optic,No,No,No,False,No,No,Month-to-month,1,Bank transfer (automatic),75.75,1929.0,2.525,71.44444444444444
1,Male,1,0,0,2,Yes,No,DSL,Yes,No,No,False,No,No,Month-to-month,1,Electronic check,49.25,91.1,1.6416666666666666,45.55
0,Female,0,0,0,27,Yes,No,DSL,No,Yes,Yes,True,Yes,Yes,One year,0,Mailed check,78.2,2078.95,2.606666666666667,76.99814814814815
0,Male,0,1,1,25,Yes,Yes,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Two year,0,Credit card (automatic),25.5,630.6,0.85,25.224
0,Male,0,1,1,25,Yes,No,DSL,Yes,Yes,Yes,False,No,No,One year,1,Bank transfer (automatic),61.6,1611.0,2.053333333333333,64.44
0,Male,0,0,1,29,No,No phone service,DSL,Yes,Yes,Yes,True,No,No,Month-to-month,1,Mailed check,45.0,1242.45,1.5,42.84310344827586
0,Male,0,1,0,72,Yes,Yes,DSL,No,Yes,Yes,True,Yes,Yes,Two year,1,Bank transfer (automatic),85.15,6316.2,2.8383333333333334,87.725
0,Female,0,0,0,14,Yes,No,DSL,No,Yes,No,False,No,No,One year,0,Credit card (automatic),51.45,727.85,1.715,51.989285714285714
0,Female,0,0,0,35,Yes,No,Fiber optic,No,No,Yes,True,Yes,Yes,One year,1,Electronic check,99.25,3532.0,3.308333333333333,100.91428571428573
0,Male,0,0,0,1,Yes,No,DSL,No,No,No,False,No,No,Month-to-month,1,Mailed check,44.3,44.3,1.4766666666666666,44.3
0,Male,0,0,0,29,Yes,No,Fiber optic,No,No,No,True,Yes,Yes,Month-to-month,1,Electronic check,94.2,2607.6,3.14,89.91724137931034
0,Male,0,0,0,64,Yes,Yes,DSL,Yes,Yes,Yes,True,Yes,No,One year,0,Electronic check,81.25,5567.55,2.708333333333333,86.99296875
0,Female,0,1,1,39,Yes,Yes,Fiber optic,No,No,No,True,Yes,Yes,Month-to-month,1,Credit card (automatic),99.95,3767.4,3.3316666666666666,96.6
0,Female,1,0,0,40,Yes,No,Fiber optic,No,No,No,False,Yes,Yes,Month-to-month,1,Electronic check,91.55,3673.6,3.0516666666666667,91.84
1,Male,0,0,0,40,Yes,Yes,Fiber optic,No,Yes,Yes,False,Yes,Yes,Month-to-month,1,Credit card (automatic),104.5,4036.85,3.4833333333333334,100.92125
1,Female,1,0,0,11,Yes,No,Fiber optic,No,Yes,No,False,Yes,Yes,Month-to-month,1,Electronic check,95.0,1120.3,3.1666666666666665,101.84545454545454
0,Female,0,1,0,6,Yes,Yes,DSL,No,No,No,False,No,No,Month-to-month,0,Electronic check,50.35,314.55,1.6783333333333337,52.425
0,Male,0,0,0,30,Yes,Yes,DSL,Yes,No,No,False,No,Yes,Month-to-month,1,Mailed check,64.5,1888.45,2.15,62.94833333333334
