cliente.id,cliente.abandono,cliente.genero,cliente.adulto_mayor,cliente.tiene_pareja,cliente.dependientes,cliente.antiguedad_meses,telefono.servicio,telefono.lineas_multiples,internet.tipo_servicio,internet.seguridad_en_linea,internet.respaldo_en_linea,internet.proteccion_dispositivo,internet.soporte_tecnico,internet.tv_streaming,internet.peliculas_streaming,cuenta.tipo_contrato,cuenta.facturacion_sin_papel,cuenta.metodo_pago,cuenta.cargo_mensual,cuenta.cargo_total,Cuentas.diarias,Cuentas.Prom.Periodo
0002-ORFBO,False,Female,0,True,True,9,Yes,No,DSL,No,Yes,No,True,Yes,No,One year,True,Mailed check,65.6,593.3,2.1866666666666665,65.92222222222222
0003-MKNFE,False,Male,0,False,False,9,Yes,Yes,DSL,No,No,No,False,No,Yes,Month-to-month,False,Mailed check,59.9,542.4,1.9966666666666666,60.266666666666666
0004-TLHLJ,True,Male,0,False,False,4,Yes,No,Fiber optic,No,No,Yes,False,No,No,Month-to-month,True,Electronic check,73.9,280.85,2.4633333333333334,70.2125
0011-IGKFF,True,Male,1,True,False,13,Yes,No,Fiber optic,No,Yes,Yes,False,Yes,Yes,Month-to-month,True,Electronic check,98.0,1237.85,3.2666666666666666,95.21923076923076
0013-EXCHZ,True,Female,1,True,False,3,Yes,No,Fiber optic,No,No,No,True,Yes,No,Month-to-month,True,Mailed check,83.9,267.4,2.796666666666667,89.13333333333333
0013-MHZWF,False,Female,0,False,True,9,Yes,No,DSL,No,No,No,True,Yes,Yes,Month-to-month,True,Credit card (automatic),69.4,571.45,2.3133333333333335,63.49444444444445
0013-SMEOE,False,Female,1,True,False,71,Yes,No,Fiber optic,Yes,Yes,Yes,True,Yes,Yes,Two year,True,Bank transfer (automatic),109.7,7904.25,3.6566666666666667,111.3274647887324
0014-BMAQU,False,Male,0,True,False,63,Yes,Yes,Fiber optic,Yes,No,No,True,No,No,Two year,True,Credit card (automatic),84.65,5377.8,2.8216666666666668,85.36190476190477
0015-UOCOJ,False,Female,1,False,False,7,Yes,No,DSL,Yes,No,No,False,No,No,Month-to-month,True,Electronic check,48.2,340.35,1.6066666666666667,48.621428571428574
0016-QLJIS,False,Female,0,True,True,65,Yes,Yes,DSL,Yes,Yes,Yes,True,Yes,Yes,Two year,True,Mailed check,90.45,5957.9,3.015,91.66
0017-DINOC,False,Male,0,False,False,54,No,No phone service,DSL,Yes,No,No,True,Yes,No,Two year,False,Credit card (automatic),45.2,2460.55,1.5066666666666668,45.56574074074074
0017-IUDMW,False,Female,0,True,True,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,True,Yes,Yes,Two year,True,Credit card (automatic),116.8,8456.75,3.893333333333333,117.45486111111111
0018-NYROU,False,Female,0,True,False,5,Yes,No,Fiber optic,No,No,No,False,No,No,Month-to-month,True,Electronic check,68.95,351.5,2.2983333333333333,70.3
0019-EFAEP,False,Female,0,False,False,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,False,Yes,No,Two year,True,Bank transfer (automatic),101.3,7261.25,3.3766666666666665,100.85069444444444
0019-GFNTW,False,Female,0,False,False,56,No,No phone service,DSL,Yes,Yes,Yes,True,No,No,Two year,False,Bank transfer (automatic),45.05,2560.1,1.5016666666666665,45.716071428571425
0020-INWCK,False,Female,0,True,True,71,Yes,Yes,Fiber optic,No,Yes,Yes,False,No,Yes,Two year,True,Credit card (automatic),95.75,6849.4,3.191666666666667,96.47042253521126
0020-JDNXP,False,Female,0,True,True,34,No,No phone service,DSL,Yes,No,Yes,True,Yes,Yes,One year,False,Mailed check,61.25,1993.2,2.0416666666666665,58.62352941176471
0021-IKXGC,False,Female,1,False,False,1,Yes,Yes,Fiber optic,No,No,No,False,No,No,Month-to-month,True,Electronic check,72.1,72.1,2.4033333333333333,72.1
0022-TCJCI,True,Male,1,False,False,45,Yes,No,DSL,Yes,No,Yes,False,No,Yes,One year,False,Credit card (automatic),62.7,2791.5,2.0900000000000003,62.03333333333333
0023-HGHWL,True,Male,1,False,False,1,No,No phone service,DSL,No,No,No,False,No,No,Month-to-month,True,Electronic check,25.1,25.1,0.8366666666666667,25.1
0023-UYUPN,False,Female,1,True,False,50,Yes,Yes,No,No internet service,No internet service,No internet service,,No internet service,No internet service,One year,False,Electronic check,25.2,1306.3,0.84,26.125999999999998
0023-XUOPT,True,Female,0,True,False,13,Yes,Yes,Fiber optic,No,Yes,Yes,False,Yes,No,Month-to-month,False,Electronic check,94.1,1215.6,3.1366666666666663,93.5076923076923
0027-KWYKW,False,Female,0,True,True,23,Yes,Yes,Fiber optic,No,No,No,False,Yes,No,Month-to-month,True,Electronic check,83.75,1849.95,2.7916666666666665,80.43260869565218
0030-FNXPP,False,Female,0,False,False,3,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Month-to-month,False,Mailed check,19.85,57.2,0.6616666666666667,19.066666666666666
0031-PVLZI,True,Female,0,True,True,4,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Month-to-month,False,Mailed check,20.35,76.35,0.6783333333333333,19.0875
0032-PGELS,True,Female,0,True,True,1,No,No phone service,DSL,Yes,No,No,False,No,No,Month-to-month,False,Bank transfer (automatic),30.5,30.5,1.0166666666666666,30.5
0036-IHMOT,False,Female,0,True,True,55,Yes,No,Fiber optic,No,Yes,Yes,True,Yes,Yes,One year,True,Bank transfer (automatic),103.7,5656.75,3.4566666666666666,102.85
0040-HALCW,False,Male,0,True,True,54,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Two year,False,Credit card (automatic),20.4,1090.6,0.6799999999999999,20.196296296296296
0042-JVWOJ,False,Male,0,False,False,26,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,One year,True,Bank transfer (automatic),19.6,471.85,0.6533333333333334,18.148076923076925
0042-RLHYP,False,Female,0,True,True,69,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Two year,False,Bank transfer (automatic),19.7,1396.9,0.6566666666666666,20.244927536231884
0048-LUMLS,False,Male,0,True,True,37,Yes,No,Fiber optic,No,No,No,False,Yes,Yes,One year,False,Credit card (automatic),91.2,3247.55,3.04,87.77162162162162
0048-PIHNL,False,Female,0,True,False,49,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,One year,False,Bank transfer (automatic),20.45,900.9,0.6816666666666666,18.385714285714286
0052-DCKON,False,Male,0,True,False,66,Yes,Yes,Fiber optic,Yes,Yes,Yes,True,Yes,Yes,One year,False,Bank transfer (automatic),115.8,7942.15,3.86,120.33560606060605
0052-YNYOT,False,Female,0,False,False,67,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,One year,False,Electronic check,20.55,1343.4,0.685,20.050746268656717
0056-EPFBG,False,Male,0,True,True,20,No,No phone service,DSL,Yes,No,Yes,True,No,No,Two year,True,Credit card (automatic),39.4,825.4,1.3133333333333332,41.269999999999996
0057-QBUQH,False,Female,0,False,True,43,Yes,Yes,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Two year,True,Electronic check,25.1,1070.15,0.8366666666666667,24.887209302325584
0058-EVZWM,False,Female,0,True,False,55,Yes,Yes,Fiber optic,Yes,No,No,False,Yes,No,Month-to-month,True,Bank transfer (automatic),89.8,4959.6,2.993333333333333,90.17454545454547
0060-FUALY,False,Female,0,True,False,59,Yes,Yes,Fiber optic,Yes,Yes,No,False,Yes,No,Month-to-month,True,Electronic check,94.75,5597.65,3.158333333333333,94.87542372881356
0064-SUDOG,False,Female,0,True,True,12,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Two year,False,Bank transfer (automatic),20.3,224.5,0.6766666666666666,18.708333333333332
0064-YIJGF,False,Male,0,True,True,27,Yes,Yes,Fiber optic,No,No,No,False,No,No,Month-to-month,True,Bank transfer (automatic),75.75,1929.0,2.525,71.44444444444444
0067-DKWBL,True,Male,1,False,False,2,Yes,No,DSL,Yes,No,No,False,No,No,Month-to-month,True,Electronic check,49.25,91.1,1.6416666666666666,45.55
0068-FIGTF,False,Female,0,False,False,27,Yes,No,DSL,No,Yes,Yes,True,Yes,Yes,One year,False,Mailed check,78.2,2078.95,2.606666666666667,76.99814814814815
0071-NDAFP,False,Male,0,True,True,25,Yes,Yes,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Two year,False,Credit card (automatic),25.5,630.6,0.85,25.224
0074-HDKDG,False,Male,0,True,True,25,Yes,No,DSL,Yes,Yes,Yes,False,No,No,One year,True,Bank transfer (automatic),61.6,1611.0,2.0533333333333332,64.44
0076-LVEPS,False,Male,0,False,True,29,No,No phone service,DSL,Yes,Yes,Yes,True,No,No,Month-to-month,True,Mailed check,45.0,1242.45,1.5,42.84310344827586
0078-XZMHT,False,Male,0,True,False,72,Yes,Yes,DSL,No,Yes,Yes,True,Yes,Yes,Two year,True,Bank transfer (automatic),85.15,6316.2,2.8383333333333334,87.725
0080-EMYVY,False,Female,0,False,False,14,Yes,No,DSL,No,Yes,No,False,No,No,One year,False,Credit card (automatic),51.45,727.85,1.715,51.989285714285714
0080-OROZO,False,Female,0,False,False,35,Yes,No,Fiber optic,No,No,Yes,True,Yes,Yes,One year,True,Electronic check,99.25,3532.0,3.308333333333333,100.91428571428571
0082-LDZUE,False,Male,0,False,False,1,Yes,No,DSL,No,No,No,False,No,No,Month-to-month,True,Mailed check,44.3,44.3,1.4766666666666666,44.3
0082-OQIQY,False,Male,0,False,False,29,Yes,No,Fiber optic,No,No,No,True,Yes,Yes,Month-to-month,True,Electronic check,94.2,2607.6,3.14,89.91724137931034
0083-PIVIK,False,Male,0,False,False,64,Yes,Yes,DSL,Yes,Yes,Yes,True,Yes,No,One year,False,Electronic check,81.25,5567.55,2.7083333333333335,86.99296875
0089-IIQKO,False,Female,0,True,True,39,Yes,Yes,Fiber optic,No,No,No,True,Yes,Yes,Month-to-month,True,Credit card (automatic),99.95,3767.4,3.3316666666666666,96.60000000000001
0093-EXYQL,False,Female,1,False,False,40,Yes,No,Fiber optic,No,No,No,False,Yes,Yes,Month-to-month,True,Electronic check,91.55,3673.6,3.0516666666666667,91.84
0093-XWZFY,True,Male,0,False,False,40,Yes,Yes,Fiber optic,No,Yes,Yes,False,Yes,Yes,Month-to-month,True,Credit card (automatic),104.5,4036.85,3.4833333333333334,100.92125
0094-OIFMO,True,Female,1,False,False,11,Yes,No,Fiber optic,No,Yes,No,False,Yes,Yes,Month-to-month,True,Electronic check,95.0,1120.3,3.1666666666666665,101.84545454545454
0096-BXERS,False,Female,0,True,False,6,Yes,Yes,DSL,No,No,No,False,No,No,Month-to-month,False,Electronic check,50.35,314.55,1.6783333333333335,52.425000000000004
0096-FCPUF,False,Male,0,False,False,30,Yes,Yes,DSL,Yes,No,No,False,No,Yes,Month-to-month,True,Mailed check,64.5,1888.45,2.15,62.94833333333334
0098-BOWSO,False,Male,0,False,False,27,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Month-to-month,True,Electronic check,19.4,529.8,0.6466666666666666,19.62222222222222
0100-DUVFC,False,Male,1,True,False,70,Yes,Yes,Fiber optic,No,Yes,Yes,False,Yes,Yes,One year,True,Electronic check,104.8,7308.95,3.493333333333333,104.41357142857143
0103-CSITQ,False,Female,0,True,False,57,Yes,Yes,Fiber optic,No,Yes,Yes,True,Yes,Yes,One year,True,Bank transfer (automatic),109.4,6252.7,3.646666666666667,109.69649122807017
0104-PPXDV,False,Male,0,True,False,58,Yes,No,DSL,No,No,Yes,False,No,No,One year,False,Credit card (automatic),50.3,2878.55,1.6766666666666665,49.630172413793105
0106-GHRQR,False,Male,0,False,False,16,Yes,Yes,DSL,No,Yes,Yes,False,No,Yes,Month-to-month,True,Bank transfer (automatic),71.4,1212.1,2.3800000000000003,75.75625
0106-UGRDO,False,Female,0,True,False,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,True,Yes,Yes,Two year,True,Electronic check,116.0,8182.85,3.8666666666666667,118.59202898550726
0107-WESLM,True,Male,0,False,False,1,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Month-to-month,True,Electronic check,19.85,19.85,0.6616666666666667,19.85
0107-YHINA,True,Male,0,False,True,1,Yes,Yes,Fiber optic,No,No,Yes,False,Yes,Yes,Month-to-month,True,Electronic check,99.75,99.75,3.325,99.75
0111-KLBQG,False,Male,1,True,True,32,Yes,No,Fiber optic,No,Yes,No,False,Yes,Yes,Month-to-month,True,Mailed check,93.95,2861.45,3.131666666666667,89.4203125
0112-QAWRZ,False,Male,0,True,True,16,Yes,Yes,Fiber optic,No,No,Yes,False,Yes,No,Month-to-month,True,Bank transfer (automatic),90.8,1442.2,3.0266666666666664,90.1375
0112-QWPNC,True,Male,0,True,False,49,Yes,Yes,DSL,Yes,No,Yes,True,Yes,Yes,One year,False,Electronic check,84.35,4059.35,2.8116666666666665,82.84387755102041
0114-IGABW,False,Female,0,True,False,71,No,No phone service,DSL,No,Yes,Yes,True,Yes,Yes,Two year,False,Bank transfer (automatic),58.25,4145.9,1.9416666666666667,58.39295774647887
0114-PEGZZ,False,Female,0,False,False,33,Yes,Yes,Fiber optic,No,Yes,Yes,False,Yes,Yes,Month-to-month,False,Electronic check,107.55,3645.5,3.585,110.46969696969697
0114-RSRRW,False,Female,0,True,False,10,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Month-to-month,True,Bank transfer (automatic),19.95,187.75,0.6649999999999999,18.775
0115-TFERT,True,Male,0,True,False,21,Yes,Yes,Fiber optic,No,Yes,Yes,True,Yes,Yes,Month-to-month,True,Electronic check,111.2,2317.1,3.7066666666666666,110.33809523809524
0117-LFRMW,True,Male,0,True,True,37,No,No phone service,DSL,Yes,Yes,Yes,False,No,No,Month-to-month,False,Bank transfer (automatic),40.2,1448.8,1.34,39.15675675675676
0118-JPNOY,False,Female,1,False,False,26,Yes,No,Fiber optic,Yes,No,No,False,Yes,No,Month-to-month,True,Credit card (automatic),85.8,2193.65,2.86,84.37115384615385
0121-SNYRK,False,Male,0,False,False,50,No,No phone service,DSL,Yes,No,No,True,No,No,One year,True,Mailed check,35.4,1748.9,1.18,34.978
0122-OAHPZ,True,Female,0,False,False,7,Yes,Yes,Fiber optic,No,No,No,False,No,No,Month-to-month,True,Electronic check,73.85,511.25,2.4616666666666664,73.03571428571429
0123-CRBRT,False,Female,0,True,True,61,Yes,Yes,DSL,Yes,Yes,Yes,True,Yes,Yes,Two year,False,Mailed check,88.1,5526.75,2.9366666666666665,90.60245901639344
0125-LZQXK,True,Male,0,False,False,15,Yes,No,Fiber optic,No,No,Yes,True,Yes,Yes,Month-to-month,True,Electronic check,101.35,1553.95,3.378333333333333,103.59666666666666
0128-MKWSG,False,Female,0,False,True,26,No,No phone service,DSL,Yes,No,No,True,No,Yes,Month-to-month,False,Mailed check,45.8,1147.0,1.5266666666666666,44.11538461538461
0129-KPTWJ,False,Male,0,True,False,72,Yes,No,Fiber optic,No,No,Yes,False,Yes,Yes,Month-to-month,True,Electronic check,94.65,6747.35,3.1550000000000002,93.71319444444445
0129-QMPDR,False,Male,0,True,True,44,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,One year,True,Bank transfer (automatic),20.5,865.05,0.6833333333333333,19.660227272727273
0130-SXOUN,False,Male,0,False,False,66,Yes,Yes,Fiber optic,No,Yes,No,False,No,Yes,Month-to-month,False,Credit card (automatic),89.4,5976.9,2.98,90.5590909090909
0133-BMFZO,True,Female,0,False,False,2,Yes,No,Fiber optic,Yes,Yes,No,True,No,No,Month-to-month,True,Electronic check,86.25,181.65,2.875,90.825
0134-XWXCE,False,Female,1,False,False,44,Yes,No,DSL,No,No,Yes,True,Yes,Yes,One year,False,Bank transfer (automatic),74.85,3268.05,2.4949999999999997,74.27386363636364
0135-NMXAP,True,Female,0,False,False,12,Yes,Yes,Fiber optic,No,Yes,No,False,Yes,No,Month-to-month,True,Bank transfer (automatic),89.75,1052.4,2.9916666666666667,87.7
0136-IFMYD,False,Male,1,True,False,69,Yes,Yes,Fiber optic,No,Yes,Yes,True,Yes,Yes,Two year,True,Electronic check,109.95,7634.25,3.665,110.6413043478261
0137-OCGAB,True,Female,0,False,False,1,Yes,Yes,Fiber optic,No,Yes,No,False,No,No,Month-to-month,True,Mailed check,80.2,80.2,2.6733333333333333,80.2
0137-UDEUO,True,Female,0,False,False,3,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Month-to-month,False,Mailed check,19.85,63.75,0.6616666666666667,21.25
